@relation forum

@attribute beer_relationships_count real
@attribute anime_relationships_count real
@attribute fitness_relationships_count real
@attribute anime_keywords real
@attribute beer_keywords real
@attribute economics_keywords real
@attribute fitness_keywords real
@attribute robotics_keywords real
@attribute dbpedia_entities real
@attribute post_length real
@attribute topic {anime, beer, economics, fitness, robotics}

@data
0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,3.0,165.0,beer
0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,3.0,269.0,beer
0.0,0.0,0.0,0.0,24.0,13.0,1.0,0.0,9.0,408.0,beer
0.0,0.0,0.0,0.0,23.0,0.0,1.0,1.0,3.0,154.0,beer
0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,2.0,180.0,beer
0.0,0.0,0.0,0.0,32.0,1.0,4.0,0.0,4.0,166.0,beer
0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,195.0,beer
0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,4.0,169.0,beer
0.0,0.0,0.0,0.0,33.0,1.0,1.0,0.0,7.0,615.0,beer
0.0,0.0,0.0,0.0,109.0,4.0,6.0,2.0,15.0,960.0,beer
0.0,0.0,0.0,0.0,73.0,1.0,0.0,0.0,2.0,214.0,beer
0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,3.0,312.0,beer
0.0,0.0,0.0,0.0,21.0,5.0,6.0,0.0,2.0,226.0,beer
0.0,0.0,0.0,0.0,125.0,1.0,1.0,1.0,7.0,297.0,beer
0.0,0.0,0.0,0.0,143.0,3.0,5.0,0.0,20.0,1327.0,beer
0.0,0.0,0.0,0.0,52.0,2.0,4.0,1.0,10.0,1255.0,beer
0.0,0.0,0.0,0.0,112.0,1.0,0.0,0.0,5.0,225.0,beer
0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,3.0,204.0,beer
0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,5.0,421.0,beer
0.0,0.0,0.0,0.0,82.0,0.0,2.0,1.0,9.0,394.0,beer
0.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,4.0,238.0,beer
0.0,0.0,0.0,0.0,59.0,2.0,6.0,1.0,15.0,1259.0,beer
