@relation forum

@attribute beer_relationships_count real
@attribute anime_relationships_count real
@attribute fitness_relationships_count real
@attribute anime_keywords real
@attribute beer_keywords real
@attribute economics_keywords real
@attribute fitness_keywords real
@attribute robotics_keywords real
@attribute dbpedia_entities real
@attribute post_length real
@attribute topic {anime, beer, economics, fitness, robotics}

@data
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,165.0,beer
0.0,0.0,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,3.0,269.0,beer
0.0,0.0,0.0,0.0,1.0,0.5416666666666666,0.041666666666666664,0.0,9.0,408.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.043478260869565216,0.043478260869565216,3.0,154.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,180.0,beer
0.0,0.0,0.0,0.0,1.0,0.03125,0.125,0.0,4.0,166.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,195.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,169.0,beer
0.0,0.0,0.0,0.0,1.0,0.030303030303030304,0.030303030303030304,0.0,7.0,615.0,beer
0.0,0.0,0.0,0.0,1.0,0.03669724770642202,0.05504587155963303,0.01834862385321101,15.0,960.0,beer
0.0,0.0,0.0,0.0,1.0,0.0136986301369863,0.0,0.0,2.0,214.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,312.0,beer
0.0,0.0,0.0,0.0,1.0,0.23809523809523808,0.2857142857142857,0.0,2.0,226.0,beer
0.0,0.0,0.0,0.0,1.0,0.008,0.008,0.008,7.0,297.0,beer
0.0,0.0,0.0,0.0,1.0,0.02097902097902098,0.03496503496503497,0.0,20.0,1327.0,beer
0.0,0.0,0.0,0.0,1.0,0.038461538461538464,0.07692307692307693,0.019230769230769232,10.0,1255.0,beer
0.0,0.0,0.0,0.0,1.0,0.008928571428571428,0.0,0.0,5.0,225.0,beer
0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,3.0,204.0,beer
0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,5.0,421.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.024390243902439025,0.012195121951219513,9.0,394.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.09523809523809523,0.0,4.0,238.0,beer
0.0,0.0,0.0,0.0,1.0,0.03389830508474576,0.1016949152542373,0.01694915254237288,15.0,1259.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.07936507936507936,0.015873015873015872,12.0,1022.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,250.0,beer
0.0,0.0,0.0,0.0,0.36666666666666664,1.0,0.16666666666666666,0.0,4.0,494.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,2.0,277.0,beer
0.0,0.0,0.0,0.0,0.6944444444444444,0.0,0.3055555555555556,1.0,10.0,579.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,5.0,349.0,beer
0.0,0.0,0.0,0.0,1.0,0.029411764705882353,0.029411764705882353,0.0,3.0,131.0,beer
0.0,0.0,0.0,0.0,1.0,0.18181818181818182,0.18181818181818182,0.0,4.0,188.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.047619047619047616,0.0,2.0,401.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.041666666666666664,0.0,3.0,250.0,beer
0.0,0.0,0.0,0.0,1.0,0.030303030303030304,0.030303030303030304,0.0,8.0,459.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,0.0,5.0,91.0,beer
0.0,0.0,0.0,0.009009009009009009,1.0,0.02702702702702703,0.04504504504504504,0.0,16.0,1310.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.07142857142857142,0.0,5.0,690.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.03125,0.0,8.0,395.0,beer
0.0,0.0,0.0,0.0,1.0,0.01818181818181818,0.03636363636363636,0.0,7.0,628.0,beer
0.0,0.0,0.0,0.0,1.0,0.015625,0.03125,0.0,9.0,341.0,beer
0.0,0.0,0.0,0.0,1.0,0.06521739130434782,0.0,0.05434782608695652,9.0,750.0,beer
0.0,0.0,0.0,0.0,1.0,0.020833333333333332,0.010416666666666666,0.0,8.0,399.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.061224489795918366,0.0,4.0,336.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.10714285714285714,0.17857142857142858,8.0,555.0,beer
0.0,0.0,0.0,0.0,1.0,0.01020408163265306,0.04081632653061224,0.0,9.0,391.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.03125,0.0,6.0,713.0,beer
0.0,0.0,0.0,0.0,1.0,0.0975609756097561,0.926829268292683,0.024390243902439025,8.0,249.0,beer
0.0,0.0,0.0,0.0,1.0,0.21739130434782608,0.2608695652173913,0.0,4.0,292.0,beer
0.0,0.0,0.0,0.0,1.0,0.037037037037037035,0.018518518518518517,0.0,5.0,197.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,89.0,beer
0.0,0.0,0.0,0.0,1.0,0.05714285714285714,0.2571428571428571,0.0,6.0,257.0,beer
0.0,0.0,0.0,0.0,1.0,0.9705882352941176,0.029411764705882353,0.0,5.0,351.0,beer
0.0,0.0,0.0,0.0,1.0,0.025,0.0875,0.0,9.0,337.0,beer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,142.0,beer
0.0,0.0,0.0,0.0,1.0,0.008771929824561403,0.20175438596491227,0.0,9.0,784.0,beer
0.0,0.0,0.0,0.0,1.0,0.022727272727272728,0.06818181818181818,0.0,5.0,386.0,beer
0.0,0.0,0.0,0.0,1.0,0.0380952380952381,0.05714285714285714,0.0,13.0,648.0,beer
0.0,0.0,0.0,0.0,1.0,0.20689655172413793,0.06896551724137931,0.0,8.0,402.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,324.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.03333333333333333,0.0,5.0,251.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,203.0,beer
0.0,0.0,0.0,0.020833333333333332,1.0,0.08333333333333333,0.22916666666666666,0.0,9.0,667.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.030303030303030304,0.0,7.0,538.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,227.0,beer
0.0,0.0,0.0,0.0,1.0,0.9242424242424242,0.12121212121212122,0.0,9.0,477.0,beer
0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.0,0.0,2.0,174.0,beer
0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.45454545454545453,0.0,20.0,1134.0,beer
0.0,0.0,0.0,0.0,1.0,0.021505376344086023,0.021505376344086023,0.0,7.0,283.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,312.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.16129032258064516,0.0,7.0,302.0,beer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0,beer
0.0,0.0,0.0,0.0,1.0,0.125,0.28125,0.03125,12.0,1005.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,0.0,8.0,277.0,beer
0.0,0.0,0.0,0.0,1.0,0.017543859649122806,0.017543859649122806,0.0,7.0,416.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.05405405405405406,0.0,8.0,483.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.01,0.0,12.0,477.0,beer
0.0,0.0,0.0,0.0,1.0,0.03389830508474576,0.15254237288135594,0.0,19.0,935.0,beer
0.0,0.0,0.0,0.0,1.0,0.038461538461538464,0.07692307692307693,0.0,10.0,424.0,beer
0.0,0.0,0.0,0.0,1.0,0.08695652173913043,0.08695652173913043,0.0,3.0,328.0,beer
0.0,0.0,0.0,0.05714285714285714,1.0,0.0,0.08571428571428572,0.0,13.0,1382.0,beer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,88.0,beer
0.0,0.0,0.0,0.0,1.0,0.023255813953488372,0.023255813953488372,0.0,6.0,723.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,124.0,beer
0.0,0.0,0.0,0.0,1.0,0.02564102564102564,0.0,0.0,5.0,523.0,beer
0.0,0.0,0.0,0.0,1.0,0.014705882352941176,0.0,0.0,7.0,539.0,beer
0.0,0.0,0.0,0.0,1.0,0.0,0.013333333333333334,0.02666666666666667,9.0,571.0,beer
0.0,0.0,0.0,0.0,1.0,0.10714285714285714,0.14285714285714285,0.03571428571428571,11.0,563.0,beer
0.0,0.0,0.0,0.0,1.0,0.005917159763313609,0.0650887573964497,0.005917159763313609,11.0,934.0,beer
0.0,0.0,0.0,0.03225806451612903,1.0,0.03225806451612903,0.16129032258064516,0.03225806451612903,15.0,1315.0,beer
